Name,Notes,Qty,Price/Unit,Total,Running Total,Link
Gateron Cherry MX Brown Switches,"keyswitches, pack of 108",1,$29.99,$29.99,$29.99,https://www.amazon.com/Zjmehty-Switches-Mechanical-Pre-Lubed-Pin-Enhanced/dp/B0CF8DWDGF/ref=sr_1_7?crid=3G69OUKE1TIVD&dib=eyJ2IjoiMSJ9.5pQqhYnTf_eOhCIq_OvPIdMUgPou6dhb7HozQBx-mMRdYEIQ46D3K45LAA91a9o0QE1dEY6cwhDaRuGyZHRH15hoSIB6QkBdHZ3-VVP3AAy0uGi5gAHPm3AR8NHIq3bikC4U37Up-k9rYYngcfYI5fNJ34pv0oGjiMD5260znigjWNlwJR5oMoBF58K-ZJAkz3V6XyH1__dDXCQ1GUp_NAOAel5EIjs3wlgwrxmgzGs.2m6D-_gzzRvmiz7So4W-UXsrZPOeORmVdyjFj1Z8dg0&dib_tag=se&keywords=cherry%2Bmx%2Bbrown%2Bswitches&qid=1785386012&rnid=41941986011&sprefix=cherry%2Bmx%2Bbrown%2Bswitch%2Caps%2C206&sr=8-7&th=1
0402 500 Resistor,resistors,101,$0.02,$2.02,$32.01,https://jlcpcb.com/partdetail/YAGEO-RT0402FRE07500RL/C6460545
 Raspberry Pi Pico,MCU,1,$0.99,$0.99,$33.00,https://www.aliexpress.us/item/3256808882158444.html?spm=a2g0o.productlist.main.2.48cd53968i4n3f&algo_pvid=a6e163f1-ef4b-4f58-aa2c-6f6d9d73fc73&algo_exp_id=a6e163f1-ef4b-4f58-aa2c-6f6d9d73fc73-1&pdp_ext_f=%7B%22order%22%3A%222882%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.53%210.99%21%21%2117.31%216.77%21%402101ea8c17744115088624126e5182%2112000047802063004%21sea%21US%213025042185%21X%211%210%21n_tag%3A-29919%3Bd%3A11a2266a%3Bm03_new_user%3A-29895%3BpisId%3A5000000202396409&curPageLogUid=cKROVG7c192z&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009068473196%7C_p_origin_prod%3A
EC11 Rotary Encoders,"for volume, etc",1,$1.37,$1.37,$34.37,https://www.aliexpress.us/item/3256805796819763.html?spm=a2g0o.productlist.main.1.712e7465sMxxxn&algo_pvid=25dd2aaf-8ed8-4445-aa21-28f0a4424575&algo_exp_id=25dd2aaf-8ed8-4445-aa21-28f0a4424575-0&pdp_ext_f=%7B%22order%22%3A%225947%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.73%210.99%21%21%211.73%210.99%21%40210325a917744112433866082e50c9%2112000035172713581%21sea%21US%213025042185%21X%211%210%21n_tag%3A-29919%3Bd%3A11a2266a%3Bm03_new_user%3A-29895%3BpisId%3A5000000202396409&curPageLogUid=JMbjUrnAcT9o&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005983134515%7C_p_origin_prod%3A
1N4148 diode,capacitors,3,$2.02,$6.06,$35.74,https://www.aliexpress.us/item/3256806058794623.html?spm=a2g0o.productlist.main.2.23f6482dQeQ7cr&algo_pvid=09f56464-05d5-481a-ab43-d3d99c28c85b&algo_exp_id=09f56464-05d5-481a-ab43-d3d99c28c85b-1&pdp_ext_f=%7B%22order%22%3A%222815%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.78%210.99%21%21%2112.17%216.76%21%402101ef5e17744119124584755e659c%2112000036448323916%21sea%21US%213025042185%21X%211%210%21n_tag%3A-29919%3Bd%3A11a2266a%3Bm03_new_user%3A-29895%3BpisId%3A5000000202396409&curPageLogUid=PUp6uTBiT1El&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006245109375%7C_p_origin_prod%3A
SK6812 mini e LEDs,"for each switch, RGB lightin. packs of 100",1,$4.50,$4.50,$41.80,https://www.aliexpress.us/item/3256805007401420.html?spm=a2g0o.productlist.main.1.596bteVKteVKqv&algo_pvid=e43dd04e-aaec-4af0-9ead-ac47e0bab215&algo_exp_id=e43dd04e-aaec-4af0-9ead-ac47e0bab215-0&pdp_ext_f=%7B%22order%22%3A%22361%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.50%214.50%21%21%2143.68%2130.23%21%402103094f17853862236762075e0f6e%2112000032072424635%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A578fb015%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792305&curPageLogUid=bFY8ZeYEj1Qn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005193716172%7C_p_origin_prod%3A
"0.91"" OLED",OLED screen,1,$2.24,$2.24,$46.30,https://www.aliexpress.us/item/3256809902820804.html?invitationCode=ZkRnYUQ2LzZRMmdkWFZYdVkzMW5nUVNKbGJraUVzRGo3c3ZXV290NGw0Q2VQemFTZUJrNWVWT0s1MU1hdTAyWg&srcSns=sns_Copy&spreadType=socialShare&social_params=22076459901&bizType=ProductDetail&spreadCode=ZkRnYUQ2LzZRMmdkWFZYdVkzMW5nUVNKbGJraUVzRGo3c3ZXV290NGw0Q2VQemFTZUJrNWVWT0s1MU1hdTAyWg&aff_fcid=7f2b42656f254e7081b5f742ad169a81-1785386388185-07405-_mOSZTHJ&tt=MG&aff_fsk=_mOSZTHJ&aff_platform=default&sk=_mOSZTHJ&aff_trace_key=7f2b42656f254e7081b5f742ad169a81-1785386388185-07405-_mOSZTHJ&shareId=22076459901&businessType=ProductDetail&platform=AE&terminal_id=13d5f91ace3b4cafaa5dc43a78a5e996&afSmartRedirect=y&gatewayAdapt=glo2usa
Durock MX Stab kit,Stabilizers,1,$25.99,$25.99,$48.54,https://www.amazon.com/DUROCK-Stabilizers-Translucent-Keyboard-Mechanical/dp/B0B2RVKH2L/ref=sr_1_8_sspa?crid=3ETCENTED6XON&dib=eyJ2IjoiMSJ9.1laxzVQu74AHUwC82frhPdDN56pXujM7uXbfWo-D8BoBFgJWvNUbGcO2sWB-HCqkt1_lttQRnPDQ9H0qAu7yEk31uPxPE4hoDKEurg1TEJQf8fKRA5_2WiwbBL5Idd0r7LFR6Vja5npe_Q5QOhnuZ68iOQFjHgNnbqVsCc2W2U4PBo5HuOKBjFNAoww6gTVY62NDM3-PjXs_UaOpSHsLdHAgwEKHiMUDzwwmrA6WAeM.TjtFkh43-C8_z0wNPEu_ha9Ci6W0jFggRKWcAnQWNd8&dib_tag=se&keywords=mx%2Bstabilizers&qid=1785387073&sprefix=mx%2Bstabilizers%2B%2Caps%2C204&sr=8-8-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1
Keycaps,"Keycap kit, for 100%",1,$17.99,$17.99,$74.53,https://www.amazon.com/Keycaps-Doubleshot-Percent-Mechanical-Keyboard/dp/B0D1QVD55F/ref=sr_1_10?crid=3HP7C5BFGZQGB&dib=eyJ2IjoiMSJ9.syNSgTC4oPyCajnACcdGWgruwkm5lvQzlhuihk13BLq1Y6d_pN6GvMFYLLMoRgNntV950s-QhsyX_HNwl2cqcZvNirgfsgIk19NRbwh-uKw6ZTi-ZwWFAC2oGsLar7Mf-_C-PxBCFDxpJs63_lFhKAuNqVWiuA3r_brDTU2zZtPNtgDIwU5dR8yIs0j492oUm-mD6OiKmWFdB1FZemNQBUTOA08vVw4UNZ_6IhFwRlQ.KIV2UT_Zka7G9KYmMqf7U6MxrQWT8Cm7DXj2qPbEwng&dib_tag=se&keywords=100%25%2Bkeycaps&qid=1785387259&sprefix=100%25%2Bkeycap%2Caps%2C197&sr=8-10&th=1
PCB,JLCPCB,1,$32.30,$32.30,$92.52,quote from uploading
